time,EpTO-100-1sec-0.000000,EpTO-100-1sec-0.250000,EpTO-100-1sec-0.500000,EpTO-100-1sec-0.750000,EpTO-100-1sec-1.000000,EpTO-50-1sec-0.000000,EpTO-50-1sec-0.250000,EpTO-50-1sec-0.500000,EpTO-50-1sec-0.750000,EpTO-50-1sec-1.000000,EpTO-50-2sec-0.000000,EpTO-50-2sec-0.250000,EpTO-50-2sec-0.500000,EpTO-50-2sec-0.750000,EpTO-50-2sec-1.000000,EpTO-add-suspend-0.000000,EpTO-add-suspend-0.250000,EpTO-add-suspend-0.500000,EpTO-add-suspend-0.750000,EpTO-add-suspend-1.000000,EpTO-suspend-0.000000,EpTO-suspend-0.250000,EpTO-suspend-0.500000,EpTO-suspend-0.750000,EpTO-suspend-1.000000,JGroups-100-1sec-0.000000,JGroups-100-1sec-0.250000,JGroups-100-1sec-0.500000,JGroups-100-1sec-0.750000,JGroups-100-1sec-1.000000,JGroups-50-1sec-0.000000,JGroups-50-1sec-0.250000,JGroups-50-1sec-0.500000,JGroups-50-1sec-0.750000,JGroups-50-1sec-1.000000,JGroups-50-2sec-0.000000,JGroups-50-2sec-0.250000,JGroups-50-2sec-0.500000,JGroups-50-2sec-0.750000,JGroups-50-2sec-1.000000,JGroups-add-suspend-coord-0.000000,JGroups-add-suspend-coord-0.250000,JGroups-add-suspend-coord-0.500000,JGroups-add-suspend-coord-0.750000,JGroups-add-suspend-coord-1.000000,JGroups-add-suspend-nocoord-0.000000,JGroups-add-suspend-nocoord-0.250000,JGroups-add-suspend-nocoord-0.500000,JGroups-add-suspend-nocoord-0.750000,JGroups-add-suspend-nocoord-1.000000,JGroups-suspend-coord-0.000000,JGroups-suspend-coord-0.250000,JGroups-suspend-coord-0.500000,JGroups-suspend-coord-0.750000,JGroups-suspend-coord-1.000000,JGroups-suspend-nocoord-0.000000,JGroups-suspend-nocoord-0.250000,JGroups-suspend-nocoord-0.500000,JGroups-suspend-nocoord-0.750000,JGroups-suspend-nocoord-1.000000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.00016,0.000328,0.0005,0.000988,0,0.000328,0.00048,0.00059,0.001016,0,0.000328,0.000496,0.000591,0.001148,0,0.00016,0.000328,0.00048,0.079293,0,9E-05,0.000255,0.000432,0.00092,0,0.00016,0.000328,0.0006665,0.009062,0,0.00034,0.00059,0.0009925,0.004594,0,0.0003045,0.0005,0.0009305,0.005828,0,0.000166,0.00034,0.0005995,0.009466,0,0.00016,0.00032,0.0005,0.01182,0,0.00014,0.000258,0.0004405,0.008566,0,0.000168,0.000361,0.000784,0.008286
2,0,9E-05,0.000192,0.00032,0.000878,0,0.00016,0.00025,0.00041,0.000898,0,0.00016,0.00025,0.00036,0.000926,0,9E-05,0.000168,0.0003,0.07704,0,7E-05,0.00018,0.000292,0.00075,0,0.000132,0.000292,0.0007,0.046106,0,0.000238,0.0006,0.002209,0.037678,0,0.00023,0.000484,0.002005,0.037692,0,0.000168,0.000375,0.001534,0.054971,0,0.00016,0.000328,0.001506,0.054827,0,0.00014,0.00025,0.00043,0.05319,0,0.0001495,0.00032,0.000762,0.046255
3,0,7E-05,0.000168,0.000314,0.00094,0,7E-05,0.00014,0.000258,0.000668,0,7E-05,0.00014,0.00025,0.00068,0,7E-05,0.000154,0.000258,0.079357,0,7E-05,0.00016,0.000292,0.00095,0,0.000168,0.000373,0.0010135,0.049672,0,0.000303,0.00124,0.00821575,0.025171,0,0.00025,0.000668,0.00695525,0.02572,0,0.00023,0.000488,0.00229225,0.052487,0,0.0002035,0.000402,0.002017,0.044633,0,0.000148,0.0003,0.0005525,0.046208,0,0.00021,0.000398,0.001173,0.053929
4,0,0.000132,0.000224,0.000336,0.001082,0,7E-05,0.00014,0.00028,0.000828,0,7E-05,0.00014,0.000308,0.000828,0,7E-05,0.000168,0.0003,0.093989,0,0.000112,0.00021,0.00032,0.00082,0,0.000213,0.00042,0.0013795,0.116683,0,0.000398,0.001591,0.00476025,0.025434,0,0.00039,0.001779,0.00511175,0.031569,0,0.000244,0.000574,0.0027455,0.084794,0,0.00023,0.000468,0.002808,0.091339,0,0.00016,0.00032,0.0008645,0.051511,0,0.00023,0.000465,0.001927,0.060563
5,0,0.00014,0.000224,0.000328,0.000884,0,0.00014,0.000174,0.000258,0.00073,0,0.00014,0.000182,0.00028,0.000808,0,0.000112,0.000174,0.0003,0.090124,0,9E-05,0.000202,0.00032,0.000742,0,0.00023,0.00046,0.00271525,0.060162,0,0.000427,0.001725,0.00369825,0.022151,0,0.000488,0.001793,0.003887,0.028793,0,0.00025,0.000664,0.00377075,0.096392,0,0.00023,0.000526,0.00336,0.067157,0,0.00016,0.000328,0.00133,0.075049,0,0.00025,0.000538,0.00296325,0.086606
6,0,7.8E-05,0.000168,0.0002955,0.00087,0,0,7E-05,0.000151,0.000828,0,0,7E-05,0.00016,0.00075,0,7E-05,0.00016,0.00027,0.071671,0,8.4E-05,0.000168,0.000266,0.000838,0,0.000222,0.000516,0.0039695,0.06795,0,0.00053075,0.0016625,0.0036225,0.021482,0,0.00053,0.0021235,0.004303,0.024236,0,0.00025,0.0009635,0.004258,0.086605,0,0.000238,0.000645,0.00404875,0.102952,0,0.00016,0.000384,0.0034545,0.058126,0,0.00025,0.000578,0.00464475,0.089154
7,0,8.4E-05,0.000168,0.00032,0.000816,0,0,7E-05,0.00014,0.000636,0,0,7E-05,0.00014,0.000738,0,7E-05,0.000154,0.000258,0.070299,0,7E-05,0.00016,0.000258,0.00081,0,0.000258,0.000672,0.0051975,0.083831,0,0.00055125,0.001663,0.00320775,0.022709,0,0.000601,0.002053,0.00387025,0.026944,0,0.0003,0.001211,0.00477575,0.06008,0,0.00025,0.00116,0.00437175,0.070743,0,0.000168,0.000447,0.00486425,0.05821,0,0.000252,0.00074,0.00505525,0.06305
8,0,0.000112,0.00021,0.000328,0.00084,0,0,7E-05,0.00014,0.000726,0,0,7E-05,0.00014,0.000758,0,7E-05,0.00016,0.000294,0.083257,0,8.4E-05,0.000182,0.000308,0.00083,0,0.000258,0.000823,0.0049375,0.057832,0,0.00045575,0.001592,0.00329475,0.021619,0,0.0005735,0.001682,0.00345675,0.028697,0,0.00032,0.001553,0.0050825,0.072355,0,0.00026,0.001516,0.0045095,0.063962,0,0.00023,0.000508,0.00495175,0.062679,0,0.0003,0.000927,0.005352,0.090144
9,0,0.000112,0.000202,0.0003065,0.00122,0,7E-05,0.00014,0.000182,0.000746,0,7E-05,0.00014,0.00021,0.000672,0,8.4E-05,0.00016,0.0002985,0.074931,0,8.4E-05,0.000168,0.00028,0.000784,0,0.000252,0.000866,0.00505625,0.07084,0,0.0003045,0.001202,0.00267525,0.020661,0,0.000461,0.001593,0.00270475,0.020585,0,0.00032,0.001991,0.005052,0.0567,0,0.000271,0.0018935,0.00463425,0.099248,0,0.00023,0.00059,0.005186,0.068347,0,0.000292,0.0011855,0.00532225,0.091502
