EpTO-100-1sec-x,EpTO-100-1sec-y,EpTO-50-1sec-x,EpTO-50-1sec-y,EpTO-50-2sec-x,EpTO-50-2sec-y,EpTO-add-suspend-x,EpTO-add-suspend-y,EpTO-suspend-x,EpTO-suspend-y,EpTO-real-trace-x,EpTO-real-trace-y,JGroups-100-1sec-x,JGroups-100-1sec-y,JGroups-50-1sec-x,JGroups-50-1sec-y,JGroups-50-2sec-x,JGroups-50-2sec-y,JGroups-add-suspend-coord-x,JGroups-add-suspend-coord-y,JGroups-add-suspend-nocoord-x,JGroups-add-suspend-nocoord-y,JGroups-suspend-coord-x,JGroups-suspend-coord-y,JGroups-suspend-nocoord-x,JGroups-suspend-nocoord-y,JGroups-coord-x,JGroups-coord-y,JGroups-nocoord-x,JGroups-nocoord-y
1200.529,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.5767,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.5916,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.6262,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.6484,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.6565,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.717,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.8199,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.898,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201.0974,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201.416,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.585,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.6804,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.711,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.7265,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.7316,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.7725,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.8214,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.8568,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.917,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.9487,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200.982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1200.661,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1200.6844,0.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1200.7382,0.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1200.758,0.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1200.7754,0.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1200.8205,0.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1200.864,0.6,,,,,,,,,,,,,,,,,,,,,,,,
