EpTO-100-1sec-x,EpTO-100-1sec-y,EpTO-50-1sec-x,EpTO-50-1sec-y,EpTO-50-2sec-x,EpTO-50-2sec-y,EpTO-add-suspend-x,EpTO-add-suspend-y,EpTO-suspend-x,EpTO-suspend-y,EpTO-real-trace-x,EpTO-real-trace-y,JGroups-100-1sec-x,JGroups-100-1sec-y,JGroups-50-1sec-x,JGroups-50-1sec-y,JGroups-50-2sec-x,JGroups-50-2sec-y,JGroups-add-suspend-coord-x,JGroups-add-suspend-coord-y,JGroups-add-suspend-nocoord-x,JGroups-add-suspend-nocoord-y,JGroups-suspend-coord-x,JGroups-suspend-coord-y,JGroups-suspend-nocoord-x,JGroups-suspend-nocoord-y,JGroups-coord-x,JGroups-coord-y,JGroups-nocoord-x,JGroups-nocoord-y
1190.365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192.363999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.063602,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.162706,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.226744,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.33844,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.385718,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.399902,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.40496,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.419865,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.45663,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.460956,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.464952,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193.507441,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194.117348,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194.19101,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194.30516,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194.372861,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194.379892,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.042175,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.21278,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.296278,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.368416,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.374885,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.405256,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.4255,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.443532,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.445946,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.48002,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.488768,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
