minute,size
0.245977,115
0.737644,116
4.212644,117
4.370977,118
5.52931,117
5.70431,116
5.80431,115
8.80431,114
9.212644,113
9.337644,112
10.270977,111
10.562644,112
12.545977,111
12.645977,110
13.50431,109
13.537644,108
13.570977,107
13.60431,106
13.637644,105
13.645977,104
13.670977,103
13.670977,102
13.67931,101
13.70431,100
14.30431,99
14.370977,100
14.50431,99
14.537644,98
14.570977,97
14.60431,96
14.637644,95
15.10431,94
15.17931,95
15.637644,96
15.670977,95
15.670977,96
17.387644,97
17.47931,98
18.362644,99
18.370977,100
18.40431,101
18.437644,102
18.470977,103
18.52931,104
18.545977,105
18.57931,106
18.60431,107
18.720977,108
18.72931,109
19.15431,110
19.420977,111
19.470977,112
19.570977,113
19.570977,114
19.57931,115
19.870977,114
19.95431,115
20.70431,114
20.80431,113
21.77931,112
21.912644,111
22.012644,110
23.70431,109
23.80431,108
24.337644,107
24.87931,108
25.45431,109
25.645977,110
26.612644,111
26.75431,112
26.87931,113
28.537644,114
28.762644,115
29.345977,116
29.612644,117
30.537644,118
30.537644,117
30.595977,118
33.80431,117
33.837644,116
34.612644,115
39.670977,114
39.70431,113
39.870977,112
40.070977,111
40.10431,110
40.20431,109
40.270977,108
41.17931,107
41.445977,106
41.47931,105
41.512644,104
42.012644,103
43.270977,102
43.470977,101
43.570977,100
43.60431,99
43.637644,98
44.170977,97
44.537644,98
44.57931,99
44.75431,100
44.90431,101
44.995977,102
45.12931,103
45.145977,104
46.070977,105
46.27931,106
46.320977,107
46.37931,108
46.85431,109
48.10431,110
48.30431,111
48.40431,112
48.437644,113
48.512644,114
49.120977,115
49.237644,114
49.270977,113
49.30431,112
49.337644,111
49.40431,110
49.470977,109
49.47931,108
49.50431,107
49.537644,106
49.570977,105
49.60431,104
49.637644,103
49.870977,102
49.90431,101
49.937644,100
49.970977,99
49.995977,98
50.00431,97
50.00431,96
50.037644,95
50.037644,94
50.070977,93
50.070977,92
50.10431,91
50.137644,90
50.270977,89
50.370977,88
50.40431,87
50.470977,86
50.562644,85
50.570977,84
50.60431,83
50.637644,82
50.670977,81
50.67931,80
53.687644,81
54.120977,82
54.145977,83
54.195977,84
54.212644,85
54.245977,86
54.412644,87
54.47931,88
54.487644,89
54.52931,90
54.57931,91
54.57931,92
54.662644,93
54.75431,94
54.77931,95
54.837644,96
55.037644,97
55.05431,98
55.15431,99
55.170977,100
55.195977,101
55.245977,102
55.312644,103
55.337644,102
55.437644,101
55.612644,102
55.72931,103
55.945977,102
56.045977,101
56.17931,100
58.70431,99
59.845977,100
59.845977,101
59.87931,102
59.90431,103
59.97931,104
70,104
