test,recv,send,recv-error,send-error
EpTO-100-1sec,26.0186974835,26.0154823095,0.277321471167819,0.277319630031082
EpTO-50-1sec,10.8451415415,10.8447393631,0.158556284298363,0.158554144812939
EpTO-50-2sec,22.3121911919,22.3117892987,0.387040889057784,0.38704068048056
EpTO-add-suspend,26.3246549144,26.5728079011,0.320081692833884,0.320315506321093
EpTO-real-trace,81.4129598194,82.6739281904,1.08228939873232,1.08368326362724
EpTO-suspend,21.0008650422,21.2162062634,0.248118219377818,0.255745948952137
JGroups-100-1sec,1.8875830465,1.8417227273,0.010785903768547,0.010811024073508
JGroups-50-1sec,0.7810112988,0.7697708396,0.027589458359801,0.027583638650308
JGroups-50-2sec,1.4509227312,1.439773654,0.011177336542286,0.011151407736751
JGroups-add-suspend-coord,1.7518682713,1.7034837518,0.019206420388397,0.019692149274351
JGroups-add-suspend-nocoord,1.7341924363,1.6849923829,0.018854232145789,0.019192823595903
JGroups-coord,5.5604580046,5.407237664,0.085930951626688,0.083267855978605
JGroups-nocoord,5.5862971556,5.432735428,0.055818473941155,0.054961681593011
JGroups-suspend-coord,1.4711056662,1.4319789926,0.018227025273522,0.018720895736008
JGroups-suspend-nocoord,1.4577589679,1.4186711443,0.011483333766797,0.011940867030924
